Region 2 - Saint John,Anglophone South School District,215034,ORIGINS NLC 215,Full-time Centre,"567 Millidge Avenue, Saint John",NB,E2K 2N5,40,9,31,0,English,236706,1
Region 2 - Saint John,Anglophone South School District,218001,CENTENARY QUEEN SQUARE DAYCARE CENTRE,Full-time Centre,"310 Princess Street, Saint John",NB,E2L 1L5,24,0,24,0,English,236660,1
Region 2 - Saint John,Anglophone South School District,226018,Inspire Early Learning Centre 6,Full-time Centre,"21 Pettingill Road, Quispamsis",NB,E2E 6B1,55,9,46,10,English,288981,1
Region 2 - Saint John,Anglophone South School District,226019,Inspire Early Learning Centre 7,Part-time Centre,"21 Pettingill Road, Quispamsis",NB,E2E 6B1,55,0,0,55,English,288981,0
Region 2 - Saint John,Anglophone South School District,227028,SUSSEX EARLY LEARNING CENTRE,Full-time Centre,"126 Maple Avenue, Sussex",NB,E4E 2N3,38,0,38,0,English,236629,1
Region 2 - Saint John,Anglophone South School District,229053,MILLIDGE AVENUE TOT SPOT CHILDCARE,Full-time Centre,"312 Millidge Avenue, Saint John",NB,E2K 2N1,24,0,24,0,English,236752,1
Region 2 - Saint John,Anglophone South School District,229058,JANIE'S AFTERSCHOOL PROGRAM,Part-time Centre,"372 Hampton Road, Quispamsis",NB,E2E 4T8,52,0,0,52,English,96058,0
Region 2 - Saint John,Anglophone South School District,232000,SOUTH END DAY CARE CENTRE,Full-time Centre,"310 Prince William Street, Saint John",NB,E2L 2C2,26,0,26,0,English,96239,1
Region 2 - Saint John,Anglophone South School District,232012,PENINSULA PRESCHOOL ASSOCIATION,Part-time Centre,"3950 845 Route, Kingston",NB,E5N 1E9,23,0,23,0,English,236795,0
Region 2 - Saint John,Anglophone South School District,245000,SOMERSET PRESCHOOL CENTRE,Full-time Centre,"50 Newport Crescent, Saint John",NB,E2K 1Y5,53,0,53,0,English,96237,1
Region 2 - Saint John,Anglophone South School District,245035,COURTENAY AVENUE DAYCARE 2018,Full-time Centre,"133 Courtenay Avenue, Saint John",NB,E2J 1N4,24,0,9,15,English,236725,1
Region 2 - Saint John,Anglophone South School District,255017,TENDER TOTS CHILDCARE FACILITY,Full-time Centre,"114 Hampton Road, Rothesay",NB,E2E 2P8,60,18,42,0,English,236734,1
Region 2 - Saint John,Anglophone South School District,256001,WEST SIDE COOP PRESCHOOL,Part-time Centre,"50 Dexter Drive, Saint John",NB,E2M 4M4,40,6,34,0,English,236831,1
Region 2 - Saint John,Anglophone South School District,256011,TENDER TOTS CHILDCARE DOWNSTAIRS,Full-time Centre,"114 Hampton Road, Rothesay",NB,E2E 2P8,60,0,33,45,English,236734,1
Region 2 - Saint John,Anglophone South School District,258008,The Boys & Girls Club of Saint John After School,Part-time Centre,"1 Paul Harris Street, Saint John",NB,E2L 3V9,60,0,0,60,English,236690,0
Region 2 - Saint John,Anglophone South School District,258020,The Boys & Girls Club of Saint John Funday After School,Part-time Centre,"1 Paul Harris Street, Saint John",NB,E2L 3V9,60,0,0,60,English,236690,0
Region 2 - Saint John,Anglophone South School District,263049,COCHRAN'S HOME AWAY FROM HOME DAYCARE,Full-time Centre,"1433 Loch Lomond Road, Saint John",NB,E2J 1Z8,44,0,44,15,English,236668,1
Region 2 - Saint John,Anglophone South School District,269030,LIVING WATERS CHILD DEVELOPMENT CENTRE,Full-time Centre,"36 Mountain Road, Saint John",NB,E2J 2X1,40,9,31,0,English,236762,1
Region 2 - Saint John,Anglophone South School District,275013,ROTHESAY NURSERY SCHOOL,Part-time Centre,"7 Gondola Point Road, Rothesay",NB,E2E 5J6,24,0,24,0,English,236849,1
Region 2 - Saint John,Anglophone South School District,279025,ANGELS 'R' WEE,Full-time Centre,"327 Prince Street, Saint John",NB,E2M 1P6,52,6,41,5,English,236894,1
Region 2 - Saint John,Anglophone South School District,279029,CLASS: CREATIVE LEARNING AFTER SCHOOL SOLUTIONS,Part-time Centre,"25 Duke Street, Sussex",NB,E4E 1P8,60,0,0,60,English,236642,0
Region 2 - Saint John,Anglophone South School District,283001,YMCA - Regional - PS and ASP,Full-time Centre,"191 Churchill Boulevard, Saint John",NB,E2K 3E2,53,0,19,53,English,202715,1
Region 2 - Saint John,Anglophone South School District,283002,YMCA - Rothesay - ASP,Part-time Centre,"230 Eriskay Drive, Rothesay",NB,E2E 5G7,45,0,0,45,English,202715,0
Region 2 - Saint John,Anglophone South School District,283003,YMCA - QPlex ASP - Downstairs,Part-time Centre,"20 Randy Jones Way, Quispamsis",NB,E2E 0P1,29,0,0,29,English,202715,0
